Well_ID,Production_Date,Production_Time_h,Casing_Pressure_MPa,Oil_Pressure_MPa,Daily_Gas_Production_104m3,Daily_Water_Production_t,Cumulative_Gas_Production_104m3,Cumulative_Water_Production_t,Unnamed:9
X2,2015/2/13,24.0,27.2,27.2,19.54,16.3,665.46,9578.8,
X2,2015/2/22,24.0,20.0,27.2,26.21,92.0,905.07,10475.4,
X2,2015/2/23,24.0,19.5,27.2,26.24,91.6,931.31,10567.0,
X2,2015/2/24,24.0,19.0,27.2,24.47,81.9,955.78,10648.9,
X2,2015/2/25,24.0,18.8,27.2,25.34,79.8,981.12,10728.7,
X2,2015/2/26,24.0,17.2,27.2,24.61,78.8,1005.73,10807.5,
X2,2015/2/27,24.0,15.8,27.2,24.36,79.9,1030.09,10887.4,
X2,2015/8/2,24.0,4.12,24.0,12.6,38.0,3940.77,19112.5,
X2,2016/5/8,24.0,3.18,3.26,1.35,9.0,5381.55,22235.5,
X2,2017/1/20,24.0,5.1,5.1,3.15,13.0,6350.89,25625.5,
X2,2017/4/10,16.0,5.21,11.96,7.6,35.0,6553.13,26382.5,
X2,2017/5/22,24.0,4.5,4.32,1.98,5.0,6683.48,26794.5,
X2,2017/8/8,24.0,4.92,3.07,2.63,2.0,6839.04,27172.5,
X2,2017/11/27,24.0,0.0,0.0,1.7,2.0,7153.52,27605.5,
X2,2017/11/28,24.0,0.0,0.0,2.6,7.0,7156.12,27612.5,
X2,2017/11/29,24.0,0.0,0.0,1.8,2.0,7157.92,27614.5,
X2,2017/11/30,10.0,0.0,0.0,0.8,1.0,7158.72,27615.5,
X2,2017/12/2,10.16,0.0,0.0,2.8,3.0,7161.52,27618.5,
X2,2017/12/3,24.0,0.0,0.0,2.7,2.0,7164.22,27620.5,
X2,2017/12/4,24.0,0.0,0.0,2.4,2.0,7166.62,27622.5,
X2,2017/12/5,24.0,0.0,0.0,2.1,2.0,7168.72,27624.5,
X2,2017/12/6,1.5,3.2,6.8,0.6,1.0,7169.32,27625.5,
X2,2017/12/7,24.0,0.0,3.4,2.1,6.0,7171.42,27631.5,
X2,2017/12/8,24.0,0.0,0.0,3.7,3.0,7175.12,27634.5,
X2,2017/12/9,24.0,5.71,3.91,3.82,3.0,7178.94,27637.5,
X2,2017/12/10,24.0,5.61,3.44,3.6,3.0,7182.54,27640.5,
X2,2017/12/11,24.0,5.43,3.47,4.0,3.0,7186.54,27643.5,
X2,2017/12/12,24.0,5.36,3.55,3.8,3.0,7190.34,27646.5,
X2,2017/12/13,12.0,5.89,4.13,1.9,1.0,7192.24,27647.5,
X2,2017/12/14,24.0,5.39,3.98,3.6,3.0,7195.84,27650.5,
X2,2017/12/15,24.0,5.46,5.16,3.34,2.0,7199.18,27652.5,
X2,2017/12/16,24.0,7.81,3.99,3.86,5.0,7203.04,27657.5,
X2,2017/12/17,24.0,5.6,3.4,3.29,2.0,7206.33,27659.5,
X2,2017/12/18,24.0,5.6,3.4,2.53,2.0,7208.85,27661.5,
X2,2017/12/19,24.0,5.6,3.4,2.46,2.0,7211.31,27663.5,
X2,2017/12/20,24.0,5.6,3.4,2.69,3.0,7214.0,27666.5,
X2,2017/12/21,24.0,4.8,3.0,3.05,3.0,7217.06,27669.5,
X2,2017/12/22,24.0,4.8,3.0,3.65,3.0,7220.71,27672.5,
